iter	Passed	Remaining
221	2848	9982
222	2860	9966
223	2871	9947
224	2882	9928
225	2893	9909
226	2907	9900
227	2918	9882
228	2929	9864
229	2941	9847
230	2952	9829
231	2964	9812
232	2975	9793
233	2986	9775
234	2997	9756
235	3008	9740
236	3019	9721
237	3030	9704
238	3041	9685
239	3052	9666
240	3063	9647
241	3074	9629
242	3085	9610
243	3098	9599
244	3109	9581
245	3120	9563
246	3131	9547
247	3144	9533
248	3155	9517
249	3167	9501
250	3179	9486
251	3189	9468
252	3201	9452
253	3212	9435
254	3224	9419
255	3235	9402
256	3246	9384
257	3257	9369
258	3268	9352
259	3280	9336
260	3291	9320
261	3302	9302
262	3314	9286
263	3324	9269
264	3335	9250
265	3346	9234
266	3358	9218
267	3369	9203
268	3381	9189
269	3393	9174
270	3404	9157
271	3416	9143
272	3427	9127
273	3438	9111
274	3450	9097
275	3461	9080
276	3473	9066
277	3484	9050
278	3496	9036
279	3519	9050
280	3530	9033
281	3541	9017
282	3552	9000
283	3563	8984
284	3576	8971
285	3587	8956
286	3598	8940
287	3609	8924
288	3621	8908
289	3631	8891
290	3642	8874
291	3654	8860
292	3665	8843
293	3676	8828
294	3687	8812
295	3698	8796
296	3710	8782
297	3720	8765
298	3731	8749
299	3742	8733
300	3753	8717
301	3767	8707
302	3778	8692
303	3789	8676
304	3801	8661
305	3813	8649
306	3824	8633
307	3836	8618
308	3847	8603
309	3858	8588
310	3870	8574
311	3881	8559
312	3893	8546
313	3904	8531
314	3916	8516
315	3928	8502
316	3940	8489
317	3952	8476
318	3963	8461
319	3974	8445
320	3985	8431
321	3997	8416
322	4008	8401
323	4020	8387
324	4032	8374
325	4045	8363
326	4057	8350
327	4069	8336
328	4080	8322
329	4092	8309
330	4103	8294
331	4115	8279
332	4126	8264
333	4137	8250
334	4149	8236
335	4159	8220
336	4170	8204
337	4182	8192
338	4193	8177
339	4205	8163
340	4216	8148
341	4227	8133
342	4237	8117
343	4248	8101
344	4259	8086
345	4271	8073
346	4282	8059
347	4293	8044
348	4304	8029
349	4315	8015
350	4327	8001
351	4338	7987
352	4349	7972
353	4361	7958
354	4372	7944
355	4382	7928
356	4393	7912
357	4404	7898
358	4415	7884
359	4428	7872
360	4439	7858
361	4452	7846
362	4463	7832
363	4481	7831
364	4496	7822
365	4512	7815
366	4526	7806
367	4538	7794
368	4551	7782
369	4563	7771
370	4575	7757
371	4588	7746
372	4600	7732
373	4612	7720
374	4626	7711
375	4639	7699
376	4651	7686
377	4662	7672
378	4675	7661
379	4687	7647
380	4699	7635
381	4711	7621
382	4730	7620
383	4742	7608
384	4755	7596
385	4768	7585
386	4779	7571
387	4791	7558
388	4803	7544
389	4816	7534
390	4828	7521
391	4842	7510
392	4855	7498
393	4867	7486
394	4879	7473
395	4891	7460
396	4903	7447
397	4916	7435
398	4928	7423
399	4940	7411
400	4952	7397
401	4964	7385
402	4976	7371
403	4988	7359
404	5003	7350
405	5015	7338
406	5027	7325
407	5038	7311
408	5050	7298
409	5063	7286
410	5076	7274
411	5088	7262
412	5100	7249
413	5112	7236
414	5124	7224
415	5137	7212
416	5150	7200
417	5161	7187
418	5173	7174
419	5186	7161
420	5198	7149
421	5211	7137
422	5224	7126
423	5236	7113
424	5247	7099
425	5259	7087
426	5272	7074
427	5284	7061
428	5296	7050
429	5308	7036
430	5320	7023
431	5334	7013
432	5346	7001
433	5360	6990
434	5373	6979
435	5385	6967
436	5398	6954
437	5409	6941
438	5422	6929
439	5434	6916
440	5447	6904
441	5477	6914
442	5493	6907
443	5506	6895
444	5519	6883
445	5531	6870
446	5543	6858
447	5555	6845
448	5567	6831
449	5579	6819
450	5591	6806
451	5605	6795
452	5617	6783
453	5630	6771
454	5642	6758
455	5654	6745
456	5666	6733
457	5679	6721
458	5691	6708
459	5704	6696
460	5717	6684
461	5729	6671
462	5741	6659
463	5753	6646
464	5767	6635
465	5779	6622
466	5790	6608
467	5802	6595
468	5813	6581
469	5825	6569
470	5837	6556
471	5850	6544
472	5862	6531
473	5874	6518
474	5886	6506
475	5898	6493
476	5910	6481
477	5923	6469
478	5938	6458
479	5950	6446
480	5962	6433
481	5974	6421
482	5987	6408
483	5999	6396
484	6012	6384
485	6023	6370
486	6035	6357
487	6047	6344
488	6060	6332
489	6072	6320
490	6085	6308
491	6097	6296
492	6109	6283
493	6122	6270
494	6134	6258
495	6146	6245
496	6159	6233
497	6170	6220
498	6183	6208
499	6195	6195
500	6208	6183
501	6220	6171
502	6232	6158
503	6244	6145
504	6255	6131
505	6268	6119
506	6280	6107
507	6293	6095
508	6308	6085
509	6319	6071
510	6331	6059
511	6343	6046
512	6355	6033
513	6368	6021
514	6380	6008
515	6390	5994
516	6401	5980
517	6415	5969
518	6444	5972
519	6456	5959
520	6468	5946
521	6480	5934
522	6492	5921
523	6505	5909
524	6517	5896
525	6529	5883
526	6541	5870
527	6553	5858
528	6566	5846
529	6578	5834
530	6591	5821
531	6602	5808
532	6617	5798
533	6629	5785
534	6641	5772
535	6653	5760
536	6667	5748
537	6679	5735
538	6691	5723
539	6704	5710
540	6716	5698
541	6728	5686
542	6742	5674
543	6753	5661
544	6765	5648
545	6777	5635
546	6798	5630
547	6810	5617
548	6822	5604
549	6834	5591
550	6846	5578
551	6857	5565
552	6869	5552
553	6885	5542
554	6896	5529
555	6909	5517
556	6920	5503
557	6932	5491
558	6945	5479
559	6957	5466
560	6969	5453
561	6981	5441
562	6994	5429
563	7006	5416
564	7017	5402
565	7028	5389
566	7040	5376
567	7052	5363
568	7064	5351
569	7076	5338
570	7088	5325
571	7100	5312
572	7112	5300
573	7124	5287
574	7135	5274
575	7148	5261
576	7160	5249
577	7173	5237
578	7185	5224
579	7197	5211
580	7208	5198
581	7220	5186
582	7232	5173
583	7244	5160
584	7256	5147
585	7268	5135
586	7279	5121
587	7291	5108
588	7302	5095
589	7314	5083
590	7326	5070
591	7342	5060
592	7355	5048
593	7369	5036
594	7381	5024
595	7404	5019
596	7422	5010
597	7435	4998
598	7447	4985
599	7459	4972
600	7473	4961
601	7485	4949
602	7498	4936
603	7510	4924
604	7522	4911
605	7534	4898
606	7546	4885
607	7558	4873
608	7570	4860
609	7582	4848
610	7593	4834
611	7605	4821
612	7618	4809
613	7630	4797
614	7641	4783
615	7653	4771
616	7666	4758
617	7677	4745
618	7689	4733
619	7701	4720
620	7714	4707
621	7726	4695
622	7738	4682
623	7750	4670
624	7762	4657
625	7775	4645
626	7786	4632
627	7798	4619
628	7810	4607
629	7823	4594
630	7837	4583
631	7849	4570
632	7861	4558
633	7873	4545
634	7885	4532
635	7897	4520
636	7910	4507
637	7922	4495
638	7934	4482
639	7947	4470
640	7958	4457
641	7970	4444
642	7982	4432
643	7995	4419
644	8007	4407
645	8019	4394
646	8031	4381
647	8043	4369
648	8054	4356
649	8067	4343
650	8079	4331
651	8091	4318
652	8102	4305
653	8114	4292
654	8126	4280
655	8138	4267
656	8150	4255
657	8162	4242
658	8173	4229
659	8185	4216
660	8197	4204
661	8209	4191
662	8221	4179
663	8233	4166
664	8244	4153
665	8256	4140
666	8268	4128
667	8281	4115
668	8293	4103
669	8305	4090
670	8318	4078
671	8338	4070
672	8350	4057
673	8374	4050
674	8388	4038
675	8400	4026
676	8412	4013
677	8424	4001
678	8436	3988
679	8448	3975
680	8459	3962
681	8471	3949
682	8483	3937
683	8494	3924
684	8507	3912
685	8519	3899
686	8532	3887
687	8544	3874
688	8556	3862
689	8568	3849
690	8579	3836
691	8592	3824
692	8603	3811
693	8616	3799
694	8628	3786
695	8640	3773
696	8652	3761
697	8664	3748
698	8677	3736
699	8689	3724
700	8701	3711
701	8713	3699
702	8726	3686
703	8738	3674
704	8751	3661
705	8763	3649
706	8779	3638
707	8791	3626
708	8803	3613
709	8815	3600
710	8827	3588
711	8839	3575
712	8851	3562
713	8862	3550
714	8874	3537
715	8886	3524
716	8899	3512
717	8911	3499
718	8923	3487
719	8935	3474
720	8947	3462
721	8959	3449
722	8971	3437
723	8983	3424
724	8995	3411
725	9007	3399
726	9019	3387
727	9032	3374
728	9044	3362
729	9056	3349
730	9067	3336
731	9079	3324
732	9091	3311
733	9102	3298
734	9113	3285
735	9126	3273
736	9139	3261
737	9151	3248
738	9163	3236
739	9175	3223
740	9188	3211
741	9200	3199
742	9212	3186
743	9224	3174
744	9241	3163
745	9254	3151
746	9266	3138
747	9278	3125
748	9289	3113
749	9301	3100
750	9312	3087
751	9328	3076
752	9342	3064
753	9355	3052
754	9366	3039
755	9379	3027
756	9390	3014
757	9400	3001
758	9412	2988
759	9423	2975
760	9434	2962
761	9450	2951
762	9466	2940
763	9477	2927
764	9488	2914
765	9499	2902
766	9510	2889
767	9522	2876
768	9533	2863
769	9545	2851
770	9557	2838
771	9568	2826
772	9579	2813
773	9591	2800
774	9603	2788
775	9615	2775
776	9626	2762
777	9637	2750
778	9649	2737
779	9660	2724
780	9672	2712
781	9683	2699
782	9695	2687
783	9706	2674
784	9720	2662
785	9731	2649
786	9743	2637
787	9754	2624
788	9765	2611
789	9776	2598
790	9788	2586
791	9800	2573
792	9811	2561
793	9823	2548
794	9834	2535
795	9847	2523
796	9858	2511
797	9869	2498
798	9881	2485
799	9893	2473
800	9904	2460
801	9916	2448
802	9927	2435
803	9938	2422
804	9950	2410
805	9961	2397
806	9973	2385
807	9984	2372
808	9996	2360
809	10006	2347
810	10018	2334
811	10029	2322
812	10040	2309
813	10052	2296
814	10063	2284
815	10074	2271
816	10086	2259
817	10097	2246
818	10109	2234
819	10121	2221
820	10132	2209
821	10143	2196
822	10154	2184
823	10165	2171
824	10177	2158
825	10188	2146
826	10201	2134
827	10213	2121
828	10223	2108
829	10237	2096
830	10249	2084
831	10263	2072
832	10276	2060
833	10289	2048
834	10312	2037
835	10332	2027
836	10346	2014
837	10359	2002
838	10371	1990
839	10383	1977
840	10396	1965
841	10409	1953
842	10421	1940
843	10433	1928
844	10446	1916
845	10458	1903
846	10471	1891
847	10483	1879
848	10497	1866
849	10509	1854
850	10521	1842
851	10533	1829
852	10546	1817
853	10558	1805
854	10570	1792
855	10582	1780
856	10593	1767
857	10606	1755
858	10618	1742
859	10629	1730
860	10641	1718
861	10656	1706
862	10668	1693
863	10681	1681
864	10693	1668
865	10706	1656
866	10718	1644
867	10729	1631
868	10741	1619
869	10753	1606
870	10766	1594
871	10778	1582
872	10790	1569
873	10802	1557
874	10816	1545
875	10829	1532
876	10842	1520
877	10854	1508
878	10867	1495
879	10879	1483
880	10892	1471
881	10904	1458
882	10916	1446
883	10928	1434
884	10941	1421
885	10953	1409
886	10964	1396
887	10977	1384
888	10989	1372
889	11002	1359
890	11015	1347
891	11028	1335
892	11040	1322
893	11053	1310
894	11065	1298
895	11078	1285
896	11090	1273
897	11101	1260
898	11113	1248
899	11126	1236
900	11140	1224
901	11153	1211
902	11166	1199
903	11178	1187
904	11191	1174
905	11203	1162
906	11215	1150
907	11228	1137
908	11239	1125
909	11252	1112
910	11269	1100
911	11283	1088
912	11300	1076
913	11312	1064
914	11324	1052
915	11337	1039
916	11349	1027
917	11361	1014
918	11373	1002
919	11385	990
920	11397	977
921	11409	965
922	11422	952
923	11434	940
924	11445	928
925	11458	915
926	11471	903
927	11483	890
928	11495	878
929	11507	866
930	11519	853
931	11532	841
932	11545	829
933	11556	816
934	11568	804
935	11580	791
936	11595	779
937	11607	767
938	11619	754
939	11630	742
940	11643	730
941	11654	717
942	11693	706
943	11716	695
944	11728	682
945	11740	670
946	11753	657
947	11765	645
948	11778	632
949	11791	620
950	11804	608
951	11817	595
952	11829	583
953	11841	570
954	11852	558
955	11865	546
956	11876	533
957	11888	521
958	11902	508
959	11914	496
960	11926	483
961	11938	471
962	11950	459
963	11964	446
964	11976	434
965	11988	421
966	12000	409
967	12012	397
968	12025	384
969	12037	372
970	12049	359
971	12065	347
972	12077	335
973	12090	322
974	12102	310
975	12115	297
976	12127	285
977	12140	273
978	12151	260
979	12164	248
980	12177	235
981	12189	223
982	12202	211
983	12214	198
984	12227	186
985	12239	173
986	12265	161
987	12278	149
988	12292	136
989	12304	124
990	12316	111
991	12330	99
992	12342	87
993	12355	74
994	12367	62
995	12380	49
996	12392	37
997	12404	24
998	12416	12
999	12427	0
